,run_id,player_id,place,speedrun_time,is_verified,verify_date,submitted_date,examiner_id,timing_type,platform_id,platform_name,platform_released_year,is_level_cat,level_id,level_name,level_rules,game_id,category_id,cat_name,cat_rules,player_name,player_country,player_pronouns,player_signup_date,verify_shortDate,verify_day,verify_month,verify_year,verify_hour,submitted_shortDate,submitted_day,submitted_month,submitted_year,submitted_hour,player_signup_shortDate,player_signup_day,player_signup_month,player_signup_year,player_signup_hour
0,zp2g6d8y,xz995g08,1,98.0,True,2022-01-30 20:40:44,2022-01-30 15:22:28,v8le49vx,realtime,nzelkr6q,PlayStation 4,2013,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",Khalooody,bh,nan,2020-01-04 11:41:15,2022-01-30,30.0,1.0,2022.0,20.0,2022-01-30,30,1,2022,15,2020-01-04,4,1,2020,11
1,y6oovepy,x7qey508,2,100.0,True,2023-02-15 05:17:52,2023-02-13 01:47:28,xz995g08,realtime,nzelkr6q,PlayStation 4,2013,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",jerrinth3glitch,us,She/Her,2020-07-05 03:44:10,2023-02-15,15.0,2.0,2023.0,5.0,2023-02-13,13,2,2023,1,2020-07-05,5,7,2020,3
2,z0ojvx8z,xkoo9n28,3,103.0,True,2022-02-08 01:32:46,2022-02-06 02:03:06,xk4o37kj,realtime,7m6ylw9p,Switch,2017,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",TrenttheN642,us,nan,2020-01-18 17:58:36,2022-02-08,8.0,2.0,2022.0,1.0,2022-02-06,6,2,2022,2,2020-01-18,18,1,2020,17
3,y88133ny,8vk99p5j,3,103.0,True,2022-04-21 18:02:43,2022-04-20 08:45:25,xk4o37kj,realtime,nzelkr6q,PlayStation 4,2013,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",_Shrub,sa,nan,2021-02-24 16:37:31,2022-04-21,21.0,4.0,2022.0,18.0,2022-04-20,20,4,2022,8,2021-02-24,24,2,2021,16
4,zp99wpgm,xz995g08,5,106.0,True,2022-05-30 20:47:53,2022-05-30 18:41:16,v8le49vx,realtime,8gejn93d,Wii U,2012,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",Khalooody,bh,nan,2020-01-04 11:41:15,2022-05-30,30.0,5.0,2022.0,20.0,2022-05-30,30,5,2022,18,2020-01-04,4,1,2020,11
5,yj81grdm,8vokkz5x,5,106.0,True,2023-01-11 06:09:20,2023-01-07 11:24:31,v8le49vx,realtime,8gejn93d,Wii U,2012,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",CaveSpider,bh,nan,2021-06-29 18:47:50,2023-01-11,11.0,1.0,2023.0,6.0,2023-01-07,7,1,2023,11,2021-06-29,29,6,2021,18
6,y9v2ojem,8lp5oevj,7,107.0,True,2022-04-19 13:10:26,2022-04-14 23:41:57,xk4o37kj,realtime,4p9zjrer,PlayStation 5,2020,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",Piggywink333,us,nan,2021-06-08 22:27:32,2022-04-19,19.0,4.0,2022.0,13.0,2022-04-14,14,4,2022,23,2021-06-08,8,6,2021,22
7,zq0e9k8y,v8le49vx,8,109.0,True,2022-01-29 19:50:18,2022-01-29 17:58:59,xz995g08,realtime,8gejn93d,Wii U,2012,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",Alexis.,us,nan,2019-01-19 17:37:40,2022-01-29,29.0,1.0,2022.0,19.0,2022-01-29,29,1,2022,17,2019-01-19,19,1,2019,17
8,y4qr6lnm,j92gmk78,9,118.0,True,2022-05-16 18:08:09,2022-05-16 14:21:33,xk4o37kj,realtime,4p9zjrer,PlayStation 5,2020,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",OphieSR,us,He/Him,2020-10-14 01:11:21,2022-05-16,16.0,5.0,2022.0,18.0,2022-05-16,16,5,2022,14,2020-10-14,14,10,2020,1
9,zg20grjy,8enlor28,10,123.0,True,2023-04-05 23:49:48,2023-04-05 23:42:07,xz995g08,realtime,8gejn93d,Wii U,2012,False,nan,nan,nan,mce,zd3vpoe2,Set Seed Any%,"## Set Seed Any% Reach the End Poem as quickly as possible. - [World Creation Settings and Rules.](https://www.speedrun.com/mce/thread/71azs) - When creating the world, you must **show all World Settings** before you press ""Create World"". - **All** World and Biome Sizes are allowed. - Timing uses the RTA with Set Loads which adds a certain amount of time for certain actions done in-game. - Time ends on the first frame of the end-game credits appearing on screen. - Pausing the game, leaving the world, or opening the console's home menu does not pause the timer. - **Using the map that you spawn with is allowed and encouraged.** ___ - **Set Seed** - The ""Seed for the World Generator"" textbox must be filled with a seed.",0wen,us,nan,2021-03-03 02:51:34,2023-04-05,5.0,4.0,2023.0,23.0,2023-04-05,5,4,2023,23,2021-03-03,3,3,2021,2
